Name of Student,PHYSICAL CONDITION,SELF-CONFIDENCE,COMMUNICATION SKILLS,CLASS
Student 2497,4,4,3,Employable
Student 2498,3,3,3,Employable
Student 2499,5,5,4,LessEmployable
Student 2500,4,4,4,LessEmployable
Student 2501,4,4,3,LessEmployable
Student 2502,4,4,3,Employable
Student 2503,4,4,3,Employable
Student 2504,5,4,5,LessEmployable
Student 2505,5,5,5,Employable
Student 2506,5,5,5,Employable
Student 2507,3,4,4,LessEmployable
Student 2508,4,4,3,LessEmployable
Student 2509,4,3,4,LessEmployable
Student 2510,4,4,4,LessEmployable
Student 2511,4,5,5,LessEmployable
Student 2512,3,4,3,Employable
Student 2513,4,4,3,Employable
Student 2514,3,3,3,Employable
Student 2515,4,4,3,LessEmployable
Student 2516,4,3,4,LessEmployable
Student 2517,2,3,3,LessEmployable
Student 2518,5,5,5,LessEmployable
Student 2519,4,3,3,LessEmployable
Student 2520,5,5,5,LessEmployable
Student 2521,3,3,3,Employable
Student 2522,3,3,2,LessEmployable
Student 2523,5,5,5,Employable
Student 2524,5,5,5,LessEmployable
Student 2525,5,3,3,LessEmployable
Student 2526,3,5,3,Employable
Student 2527,5,5,3,Employable
Student 2528,3,3,3,Employable
Student 2529,4,4,3,Employable
Student 2530,4,2,2,LessEmployable
Student 2531,3,3,3,LessEmployable
Student 2532,4,4,4,LessEmployable
Student 2533,3,3,3,Employable
Student 2534,3,3,3,Employable
Student 2535,4,4,4,Employable
Student 2536,4,4,4,Employable
Student 2537,4,3,3,LessEmployable
Student 2538,5,5,4,LessEmployable
Student 2539,3,3,3,LessEmployable
Student 2540,3,3,3,Employable
Student 2541,4,4,4,LessEmployable
Student 2542,4,4,4,Employable
Student 2543,4,4,5,Employable
Student 2544,4,5,5,Employable
Student 2545,3,3,3,LessEmployable
Student 2546,5,4,4,Employable
Student 2547,4,3,3,Employable
Student 2548,4,3,3,Employable
Student 2549,4,5,5,Employable
Student 2550,4,4,3,Employable
Student 2551,3,3,2,LessEmployable
Student 2552,3,3,3,LessEmployable
Student 2553,3,4,3,Employable
Student 2554,3,3,3,Employable
Student 2555,4,3,3,Employable
Student 2556,3,3,3,Employable
Student 2557,4,4,4,Employable
Student 2558,3,3,4,Employable
Student 2559,5,5,4,LessEmployable
Student 2560,4,3,4,Employable
Student 2561,3,3,2,LessEmployable
Student 2562,3,3,2,LessEmployable
Student 2563,3,4,3,LessEmployable
Student 2564,3,3,3,LessEmployable
Student 2565,3,3,3,LessEmployable
Student 2566,4,4,4,LessEmployable
Student 2567,4,5,4,LessEmployable
Student 2568,3,5,3,LessEmployable
Student 2569,5,4,4,Employable
Student 2570,4,4,4,Employable
Student 2571,5,5,4,Employable
Student 2572,3,5,3,LessEmployable
Student 2573,5,5,4,Employable
Student 2574,4,5,4,Employable
Student 2575,4,3,3,LessEmployable
Student 2576,5,5,4,Employable
Student 2577,4,4,4,Employable
Student 2578,5,5,4,Employable
Student 2579,4,3,3,LessEmployable
Student 2580,4,3,3,LessEmployable
Student 2581,4,5,4,LessEmployable
Student 2582,4,5,3,LessEmployable
Student 2583,5,5,5,Employable
Student 2584,3,5,3,Employable
Student 2585,5,4,4,Employable
Student 2586,4,4,5,Employable
Student 2587,3,3,4,LessEmployable
Student 2588,5,5,4,Employable
Student 2589,5,5,4,Employable
Student 2590,5,5,4,Employable
Student 2591,5,5,4,Employable
Student 2592,4,4,3,LessEmployable
Student 2593,5,4,4,LessEmployable
Student 2594,4,3,3,LessEmployable
Student 2595,3,4,3,LessEmployable
Student 2596,5,5,4,Employable
Student 2597,5,5,4,Employable
Student 2598,5,5,4,Employable
Student 2599,5,5,4,Employable
Student 2600,5,5,4,Employable
Student 2601,5,5,4,Employable
Student 2602,5,4,4,Employable
Student 2603,4,4,3,LessEmployable
Student 2604,4,3,4,LessEmployable
Student 2605,5,5,4,Employable
Student 2606,4,4,4,Employable
Student 2607,3,3,3,Employable
Student 2608,4,5,4,LessEmployable
Student 2609,3,3,3,Employable
Student 2610,4,3,3,Employable
Student 2611,4,4,3,LessEmployable
Student 2612,4,4,4,Employable
Student 2613,3,3,3,Employable
Student 2614,3,3,5,Employable
Student 2615,4,4,4,Employable
Student 2616,5,5,5,Employable
Student 2617,4,4,4,Employable
Student 2618,3,3,3,Employable
Student 2619,3,3,3,Employable
Student 2620,4,4,4,LessEmployable
Student 2621,3,4,4,LessEmployable
Student 2622,4,3,3,Employable
Student 2623,4,3,3,Employable
Student 2624,4,4,4,Employable
Student 2625,4,3,4,Employable
Student 2626,4,4,3,LessEmployable
Student 2627,2,2,3,Employable
Student 2628,4,4,3,Employable
Student 2629,3,3,3,LessEmployable
Student 2630,4,3,3,Employable
Student 2631,3,3,3,LessEmployable
Student 2632,3,3,2,Employable
Student 2633,4,4,4,Employable
Student 2634,4,4,4,Employable
Student 2635,4,4,3,LessEmployable
Student 2636,4,3,4,Employable
Student 2637,5,5,4,Employable
Student 2638,3,3,2,Employable
Student 2639,4,4,3,LessEmployable
Student 2640,4,4,4,LessEmployable
Student 2641,3,3,2,Employable
Student 2642,4,4,4,Employable
Student 2643,3,3,3,LessEmployable
Student 2644,4,3,3,Employable
Student 2645,4,3,2,Employable
Student 2646,3,3,3,LessEmployable
Student 2647,3,3,3,LessEmployable
Student 2648,4,3,3,Employable
Student 2649,5,4,4,LessEmployable
Student 2650,4,4,3,LessEmployable
Student 2651,4,3,3,LessEmployable
Student 2652,4,4,4,LessEmployable
Student 2653,4,4,4,LessEmployable
Student 2654,4,5,5,Employable
Student 2655,4,4,4,Employable
Student 2656,4,4,3,LessEmployable
Student 2657,4,4,3,LessEmployable
Student 2658,4,5,5,LessEmployable
Student 2659,4,4,3,Employable
Student 2660,4,4,3,Employable
Student 2661,4,5,4,Employable
Student 2662,4,4,3,Employable
Student 2663,3,3,4,LessEmployable
Student 2664,5,5,5,Employable
Student 2665,5,5,4,Employable
Student 2666,5,5,4,Employable
Student 2667,5,4,3,Employable
Student 2668,5,5,4,Employable
Student 2669,5,4,3,LessEmployable
Student 2670,5,5,3,Employable
Student 2671,5,5,3,Employable
Student 2672,4,4,4,LessEmployable
Student 2673,4,4,3,LessEmployable
Student 2674,4,4,3,LessEmployable
Student 2675,5,4,3,LessEmployable
Student 2676,5,5,3,Employable
Student 2677,3,3,2,Employable
Student 2678,4,4,4,Employable
Student 2679,4,4,3,Employable
Student 2680,3,3,3,Employable
Student 2681,5,5,4,LessEmployable
Student 2682,4,4,4,LessEmployable
Student 2683,4,4,3,LessEmployable
Student 2684,4,4,3,Employable
Student 2685,4,4,3,Employable
Student 2686,5,4,5,LessEmployable
Student 2687,5,5,5,Employable
Student 2688,5,5,5,Employable
Student 2689,3,4,4,LessEmployable
Student 2690,4,4,3,LessEmployable
Student 2691,4,3,4,LessEmployable
Student 2692,4,4,4,LessEmployable
Student 2693,4,5,5,LessEmployable
Student 2694,3,4,3,Employable
Student 2695,4,4,3,Employable
Student 2696,3,3,3,Employable
Student 2697,4,4,3,LessEmployable
Student 2698,4,3,4,LessEmployable
Student 2699,2,3,3,LessEmployable
Student 2700,5,5,5,LessEmployable
Student 2701,4,3,3,LessEmployable
Student 2702,5,5,5,LessEmployable
Student 2703,3,3,3,Employable
Student 2704,3,3,2,LessEmployable
Student 2705,5,5,5,Employable
Student 2706,5,5,5,LessEmployable
Student 2707,5,3,3,LessEmployable
Student 2708,3,5,3,Employable
Student 2709,5,5,3,Employable
Student 2710,3,3,3,Employable
Student 2711,4,4,3,Employable
Student 2712,4,2,2,LessEmployable
Student 2713,3,3,3,LessEmployable
Student 2714,4,4,4,LessEmployable
Student 2715,3,3,3,Employable
Student 2716,3,3,3,Employable
Student 2717,4,4,4,Employable
Student 2718,4,4,4,Employable
Student 2719,4,3,3,LessEmployable
Student 2720,5,5,4,LessEmployable
Student 2721,3,3,3,LessEmployable
Student 2722,3,3,3,Employable
Student 2723,4,4,4,LessEmployable
Student 2724,4,4,4,Employable
Student 2725,4,4,5,Employable
Student 2726,4,5,5,Employable
Student 2727,3,3,3,LessEmployable
Student 2728,5,4,4,Employable
Student 2729,4,3,3,Employable
Student 2730,4,3,3,Employable
Student 2731,4,5,5,Employable
Student 2732,4,4,3,Employable
Student 2733,3,3,2,LessEmployable
Student 2734,3,3,3,LessEmployable
Student 2735,3,4,3,Employable
Student 2736,3,3,3,Employable
Student 2737,4,3,3,Employable
Student 2738,3,3,3,Employable
Student 2739,4,4,4,Employable
Student 2740,3,3,4,Employable
Student 2741,5,5,4,LessEmployable
Student 2742,4,3,4,Employable
Student 2743,3,3,2,LessEmployable
Student 2744,3,3,2,LessEmployable
Student 2745,3,4,3,LessEmployable
Student 2746,3,3,3,LessEmployable
Student 2747,3,3,3,LessEmployable
Student 2748,4,4,4,LessEmployable
Student 2749,4,5,4,LessEmployable
Student 2750,3,5,3,LessEmployable
Student 2751,5,4,4,Employable
Student 2752,4,4,4,Employable
Student 2753,5,5,4,Employable
Student 2754,3,5,3,LessEmployable
Student 2755,5,5,4,Employable
Student 2756,4,5,4,Employable
Student 2757,4,3,3,LessEmployable
Student 2758,5,5,4,Employable
Student 2759,4,4,4,Employable
Student 2760,5,5,4,Employable
Student 2761,4,3,3,LessEmployable
Student 2762,4,3,3,LessEmployable
Student 2763,4,5,4,LessEmployable
Student 2764,4,5,3,LessEmployable
Student 2765,5,5,5,Employable
Student 2766,3,5,3,Employable
Student 2767,5,4,4,Employable
Student 2768,4,4,5,Employable
Student 2769,3,3,4,LessEmployable
Student 2770,5,5,4,Employable
Student 2771,5,5,4,Employable
Student 2772,5,5,4,Employable
Student 2773,5,5,4,Employable
Student 2774,4,4,3,LessEmployable
Student 2775,5,4,4,LessEmployable
Student 2776,4,3,3,LessEmployable
Student 2777,3,4,3,LessEmployable
Student 2778,5,5,4,Employable
Student 2779,5,5,4,Employable
Student 2780,5,5,4,Employable
Student 2781,5,5,4,Employable
Student 2782,5,5,4,Employable
Student 2783,5,5,4,Employable
Student 2784,5,4,4,Employable
Student 2785,4,4,3,LessEmployable
Student 2786,4,3,4,LessEmployable
Student 2787,5,5,4,Employable
Student 2788,4,4,4,Employable
Student 2789,3,3,3,Employable
Student 2790,4,5,4,LessEmployable
Student 2791,3,3,3,Employable
Student 2792,4,3,3,Employable
Student 2793,4,4,3,LessEmployable
Student 2794,4,4,4,Employable
Student 2795,3,3,3,Employable
Student 2796,3,3,5,Employable
Student 2797,4,4,4,Employable
Student 2798,5,5,5,Employable
Student 2799,4,4,4,Employable
Student 2800,3,3,3,Employable
Student 2801,3,3,3,Employable
Student 2802,4,4,4,LessEmployable
Student 2803,3,4,4,LessEmployable
Student 2804,4,3,3,Employable
Student 2805,4,3,3,Employable
Student 2806,4,4,4,Employable
Student 2807,4,3,4,Employable
Student 2808,4,4,3,LessEmployable
Student 2809,2,2,3,Employable
Student 2810,4,4,3,Employable
Student 2811,3,3,3,LessEmployable
Student 2812,4,3,3,Employable
Student 2813,3,3,3,LessEmployable
Student 2814,3,3,2,Employable
Student 2815,4,4,4,Employable
Student 2816,4,4,4,Employable
Student 2817,4,4,3,LessEmployable
Student 2818,4,3,4,Employable
Student 2819,5,5,4,Employable
Student 2820,3,3,2,Employable
Student 2821,4,4,3,LessEmployable
Student 2822,4,4,4,LessEmployable
Student 2823,3,3,2,Employable
Student 2824,4,4,4,Employable
Student 2825,3,3,3,LessEmployable
Student 2826,4,3,3,Employable
Student 2827,4,3,2,Employable
Student 2828,3,3,3,LessEmployable
Student 2829,3,3,3,LessEmployable
Student 2830,4,3,3,Employable
Student 2831,5,4,4,LessEmployable
Student 2832,4,4,3,LessEmployable
Student 2833,4,3,3,LessEmployable
Student 2834,4,4,4,LessEmployable
Student 2835,4,4,4,LessEmployable
Student 2836,4,5,5,Employable
Student 2837,4,4,4,Employable
Student 2838,4,4,3,LessEmployable
Student 2839,4,4,3,LessEmployable
Student 2840,4,5,5,LessEmployable
Student 2841,4,4,3,Employable
Student 2842,4,4,3,Employable
Student 2843,4,5,4,Employable
Student 2844,4,4,3,Employable
Student 2845,3,3,4,LessEmployable
Student 2846,5,5,5,Employable
Student 2847,5,5,4,Employable
Student 2848,5,5,4,Employable
Student 2849,5,4,3,Employable
Student 2850,5,5,4,Employable
Student 2851,5,4,3,LessEmployable
Student 2852,5,5,3,Employable
Student 2853,5,5,3,Employable
Student 2854,4,4,4,LessEmployable
Student 2855,4,4,3,LessEmployable
Student 2856,4,4,3,LessEmployable
Student 2857,5,4,3,LessEmployable
Student 2858,5,5,3,Employable
Student 2859,3,3,2,Employable
Student 2860,4,4,4,Employable
Student 2861,4,4,3,Employable
Student 2862,3,3,3,Employable
Student 2863,5,5,4,LessEmployable
Student 2864,4,4,4,LessEmployable
Student 2865,4,4,3,LessEmployable
Student 2866,4,4,3,Employable
Student 2867,4,4,3,Employable
Student 2868,5,4,5,LessEmployable
Student 2869,5,5,5,Employable
Student 2870,5,5,5,Employable
Student 2871,3,4,4,LessEmployable
Student 2872,4,4,3,LessEmployable
Student 2873,4,3,4,LessEmployable
Student 2874,4,4,4,LessEmployable
Student 2875,4,5,5,LessEmployable
Student 2876,3,4,3,Employable
Student 2877,4,4,3,Employable
Student 2878,3,3,3,Employable
Student 2879,4,4,3,LessEmployable
Student 2880,4,3,4,LessEmployable
Student 2881,2,3,3,LessEmployable
Student 2882,5,5,5,LessEmployable
Student 2883,4,3,3,LessEmployable
Student 2884,5,5,5,LessEmployable
Student 2885,3,3,3,Employable
Student 2886,3,3,2,LessEmployable
Student 2887,5,5,5,Employable
Student 2888,5,5,5,LessEmployable
Student 2889,5,3,3,LessEmployable
Student 2890,3,5,3,Employable
Student 2891,5,5,3,Employable
Student 2892,3,3,3,Employable
Student 2893,4,4,3,Employable
Student 2894,4,2,2,LessEmployable
Student 2895,3,3,3,LessEmployable
Student 2896,4,4,4,LessEmployable
Student 2897,3,3,3,Employable
Student 2898,3,3,3,Employable
Student 2899,4,4,4,Employable
Student 2900,4,4,4,Employable
Student 2901,4,3,3,LessEmployable
Student 2902,4,5,4,LessEmployable
Student 2903,3,3,3,LessEmployable
Student 2904,3,3,3,Employable
Student 2905,4,4,4,LessEmployable
Student 2906,4,4,4,Employable
Student 2907,4,4,5,Employable
Student 2908,4,5,5,Employable
Student 2909,3,3,3,LessEmployable
Student 2910,5,4,4,Employable
Student 2911,4,3,3,Employable
Student 2912,4,3,3,Employable
Student 2913,4,5,5,Employable
Student 2914,4,4,3,Employable
Student 2915,3,3,2,LessEmployable
Student 2916,3,3,3,LessEmployable
Student 2917,3,4,3,Employable
Student 2918,3,3,3,Employable
Student 2919,4,3,3,Employable
Student 2920,3,3,3,Employable
Student 2921,4,4,4,Employable
Student 2922,3,3,4,Employable
Student 2923,5,5,4,LessEmployable
Student 2924,4,3,4,Employable
Student 2925,3,3,2,LessEmployable
Student 2926,3,3,2,LessEmployable
Student 2927,3,4,3,LessEmployable
Student 2928,3,3,3,LessEmployable
Student 2929,3,3,3,LessEmployable
Student 2930,4,4,4,LessEmployable
Student 2931,4,5,4,LessEmployable
Student 2932,3,5,3,LessEmployable
Student 2933,5,4,4,Employable
Student 2934,4,4,4,Employable
Student 2935,5,5,4,Employable
Student 2936,3,5,3,LessEmployable
Student 2937,5,5,4,Employable
Student 2938,4,5,4,Employable
Student 2939,4,3,3,LessEmployable
Student 2940,5,5,4,Employable
Student 2941,4,4,4,Employable
Student 2942,5,5,4,Employable
Student 2943,4,3,3,LessEmployable
Student 2944,4,3,3,LessEmployable
Student 2945,4,5,4,LessEmployable
Student 2946,4,5,3,LessEmployable
Student 2947,5,5,5,Employable
Student 2948,3,5,3,Employable
Student 2949,5,4,4,Employable
Student 2950,4,4,5,Employable
Student 2951,3,3,4,LessEmployable
Student 2952,5,5,4,Employable
Student 2953,5,5,4,Employable
Student 2954,5,5,4,Employable
Student 2955,5,5,4,Employable
Student 2956,4,4,3,LessEmployable
Student 2957,5,4,4,LessEmployable
Student 2958,4,3,3,LessEmployable
Student 2959,3,4,3,LessEmployable
Student 2960,5,5,4,Employable
Student 2961,5,5,4,Employable
Student 2962,5,5,4,Employable
Student 2963,5,5,4,Employable
Student 2964,5,5,4,Employable
Student 2965,5,5,4,Employable
Student 2966,5,4,4,Employable
Student 2967,4,4,3,LessEmployable
Student 2968,4,3,4,LessEmployable
Student 2969,5,5,4,Employable
Student 2970,4,4,4,Employable
Student 2971,3,3,3,Employable
Student 2972,4,5,4,LessEmployable
Student 2973,3,3,3,Employable
Student 2974,4,3,3,Employable
Student 2975,4,4,3,LessEmployable
Student 2976,4,4,4,Employable
Student 2977,3,3,3,Employable
Student 2978,3,3,5,Employable
Student 2979,4,4,4,Employable
Student 2980,5,5,5,Employable
Student 2981,4,4,4,Employable
Student 2982,3,3,3,Employable
Student 2983,3,3,3,Employable
Student 2984,4,4,4,LessEmployable
Student 2985,3,4,4,LessEmployable
Student 2986,4,3,3,Employable
Student 2987,4,3,3,Employable
Student 2988,4,4,4,Employable
Student 2989,4,3,4,Employable
Student 2990,4,4,3,LessEmployable
Student 2991,2,2,3,Employable
Student 2992,4,4,3,Employable
Student 2993,3,3,3,LessEmployable
Student 2994,4,3,3,Employable
Student 2995,3,3,3,LessEmployable
Student 2996,3,3,2,Employable
Student 2997,4,4,4,Employable
Student 2998,4,4,4,Employable
Student 2999,4,4,3,LessEmployable
Student 3000,4,3,4,Employable
